ID,BUS_PERCENT,STAY_C,PROPLOYALTY,PRICE_INDEX,LEADTIME,CRO_BOOK_PCT,SUCCESS_B,POINTS_EARNEDPERREV,MIDSCALE_PCT,UPSCALE_PCT,EXT_STAY_PCT,COPARTNER_B,AIRPORT_PCT,RESORT_PCT,SUBURBAN_PCT,SMALLTOWN_PCT,URBAN_PCT,ADJMS_B,DIST1_PCT,WEEKENDS_PCT,US_US_PCT,MEMBER_CLUB,POINTS_COLLECTOR,GDS_BOOK_PCT,WEB_BOOK_PCT,P_REDEEM_B,REGISTRATION_B,NIGHTSPERSTAY,REVPERNIGHT
206843,0,3,0.666666667,1.085442975,7,0.333333333,0,9.998087954,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0.333333333,0,1,1,0,0,0,0,2,87.16666667
317608,0,1,1,1.062297954,0,0,1,10.70447761,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,4,83.75
47262,0,1,1,0.906216905,2,1,1,10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,69
111233,0,5,0.2,1.164258329,4.666666667,0.333333333,0,1.499250375,0.8,0,0.2,0,0,0,0.6,0.2,0.2,0,0.8,0,1,1,0,0,0.666666667,0,0,1.4,95.28571429
203684,0.25,3,0.666666667,0.939719692,3.666666667,0.333333333,0,8.998417722,0,0.666666667,0.333333333,0,0.666666667,0,0,0.333333333,0,0,0,0.5,1,1,1,0,0.333333333,0,0,2.666666667,79
221052,0.428571429,3,0.666666667,0.937219651,68,0,0,10.00172712,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2.333333333,82.71428571
34975,0,5,0.2,1.162224573,4.8,0,0,10.20746269,1,0,0,0,0,0,0.6,0.4,0,0,0,0,1,0,1,0,1,0,0,3.8,105.7894737
106013,0,1,1,0.760840865,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,69
236984,0.666666667,3,1,0.780969443,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,76.33333333
133278,0,1,1,1.216554171,0,0,0,10,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,105
271778,0,1,1,1.024481799,0,0,0,10,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,71
94130,0,1,1,1.826307397,0,0,0,10.01438849,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,139
200755,0,1,1,1.15478748,-1,0,0,10.02777778,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,54
227911,0,6,0.333333333,1.06981345,1.5,0,0,7.901738473,0.833333333,0,0.166666667,0,0.333333333,0.333333333,0,0,0.333333333,0,0.333333333,0.25,1,1,1,0,0.75,1,0,2,110.25
260453,0,1,1,1.317399811,2,1,1,10,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,126
140325,0,22,0.454545455,1.110118258,11.09090909,0,1,12.7390868,1,0,0,1,0,0,0.090909091,0.909090909,0,0,0,0.282828283,1,0,1,0,0.636363636,0,1,9,80.52525253
175980,1,3,0.333333333,1.571918555,14.66666667,0,0,0,0.666666667,0.333333333,0,0,0.666666667,0,0.333333333,0,0,0,0,0,1,1,0,1,0,0,0,1.666666667,155.2
329784,0,1,1,1.387864189,21,1,1,10,1,0,0,0,0,0,0,0,1,0,0,0.5,1,1,1,0,0,0,1,4,136.5
257661,0,2,1,0.660952445,12.5,1,1,10.73898305,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,2,73.75
160381,0,2,0.5,1.333524337,0,0,0,10.00660066,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,151.5
20080,0,1,1,2.260538979,0,0,0,10,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,279
321458,0,1,1,0.552756694,1,0,0,18.18181818,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,55
166894,1,2,0.5,1.465987578,21,0,0,7.193877551,0,0.5,0.5,0,0,0,1,0,0,0,0,0.571428571,1,1,1,1,0,0,0,3.5,112
245750,0.533333333,7,0.285714286,1.099413557,6,0,1,10.6377551,1,0,0,0,0,0,0.428571429,0.428571429,0.142857143,0,0.714285714,0,1,1,1,0,0.5,0,1,2.142857143,104.5333333
176368,0,1,1,1.421968769,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,119
350896,0,1,1,0.925903782,-1,0,0,13.91823899,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,53
269298,1,1,1,0.948788364,51,1,1,1.766784452,0,1,0,0,0,0,0,0,1,0,0,0.5,1,1,1,0,0,0,1,4,283
206767,0,1,1,1.166594921,0,0,0,10.46500778,1,0,0,0,0,0,0,0,1,0,0,0.2,0,1,1,0,0,0,1,5,128.6
280191,0.621621622,11,0.818181818,1.083876324,13.14285714,0,1,12.34342769,1,0,0,0,0,0,0.090909091,0,0,0,0,0.081081081,0,0,1,0,0.142857143,1,1,3.363636364,123.1621622
18553,0,2,0.5,0.906987507,3,0,0,10.01079137,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1.5,92.66666667
353692,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
103093,0,2,0.5,1.126867836,10,0.5,0,11.08108108,1,0,0,1,0,0,0,1,0,0,0.5,1,1,1,1,0,0.5,0,0,1,92.5
85545,0,1,1,1.125269438,0,0,0,11.28888889,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,90
296995,0,2,0.5,1.222019689,-1,0,0,0.611246944,1,0,0,0,0,0,0,0,0,0,0,0.545454545,0,0,0,0,0,0,0,5.5,148.7272727
66818,0,2,1,1.36529316,0,0,1,15.52486188,1,0,0,0,0,0,1,0,0,0,1,0.5,1,1,1,0,1,0,1,1,90.5
257401,0,7,0.142857143,1.016991431,12.16666667,0.333333333,1,11.37358715,1,0,0,0,0.142857143,0,0.285714286,0.571428571,0,0,0.142857143,0.473684211,1,1,1,0,0,0,1,2.714285714,88.47368421
294340,0,1,1,0.775734638,0,0,1,11.44805195,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,154
152529,0,1,1,0.895115743,0,0,0,12.05357143,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,84
272801,0.75,10,0.4,0.948828427,18,0,0,5.03749485,1,0,0,0,0.2,0,0.2,0.6,0,0,0,0.083333333,1,1,1,0,0,0,0,2.4,101.125
259535,0,1,1,1.2585757,0,0,0,10.01234568,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,162
345415,0,3,0.333333333,1.165579548,0.666666667,0,1,3.968253968,1,0,0,0,0,0,0,1,0,0,0.333333333,0.5,1,0,0,0,0,0,1,1.333333333,94.5
319833,0,2,0.5,1.438491489,26,1,0,10.27472527,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.25,1,1,1,0,0,0,0,2,182
103702,0,3,0.333333333,1.453439582,32.5,0,0,8.620599739,1,0,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,1,0,0.75,0,0,2,255.6666667
144255,0,5,0.2,1.074806079,3.75,0.25,0,6.152219873,1,0,0,0,0,0,0.2,0.8,0,0,0.2,0.4,1,1,1,0,0,1,0,1,94.6
298784,0,1,1,0.342656873,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,30
38630,0,1,1,0.725883072,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,60
188855,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
52622,0,1,1,2.213255596,2,1,0,11.31725888,1,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1,1,0,0,0,0,3,131.3333333
89549,0,1,1,2.014198296,0,0,0,10,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,296
223601,0,1,1,0.287061677,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5,1,1,1,0,0,0,1,2,39
125501,0,1,1,0.63656671,0,0,0,10.35251799,1,0,0,0,0,0,1,0,0,0,0,0.5,0,1,1,0,0,0,0,4,69.5
114497,0,5,0.6,0.951797686,22,0.8,0,1.246537396,0.8,0.2,0,0,0.6,0,0,0,0.4,0,0.2,0.333333333,1,1,1,0,0,0,0,1.2,120.3333333
1404,0,1,1,0.823665003,0,0,0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,65
220049,0,1,1,1.114765032,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0.5,1,1,1,0,0,0,0,2,109
307732,0,1,1,1.157588471,0,0,0,9.995454545,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,4,110
327935,0,1,1,1.068140219,0,0,0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,77
238533,0,3,1,0.951808449,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1.333333333,70
219567,0,1,1,1.505868751,0,0,0,10.30150754,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,199
238448,0,1,1,1.170388519,53,1,0,10.14796547,1,0,0,0,0,1,0,0,0,0,0,0.285714286,1,1,1,0,0,0,0,7,115.8571429
254652,0,5,0.4,1.429695062,0,0,0,2.652910833,0,1,0,0,0,0,0,0,0,1,0,0.153846154,0,0,1,0,0,0,1,2.6,313.1538462
285290,0,1,1,0.937477233,-1,0,0,6.0703667,1,0,0,0,0,0,0,0,0,0,0,0.25,0,1,1,0,0,0,1,8,126.125
276241,0,6,0.166666667,0.704684729,0,0,0,8.74501992,0.833333333,0.166666667,0,0,0.166666667,0,0.333333333,0.333333333,0.166666667,0,0.166666667,0.875,1,1,1,0,0,0,0,1.333333333,62.75
40800,0,1,1,0.34264947,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0.333333333,1,1,1,0,0,0,1,6,32
137368,0,1,1,1.101632709,0,0,0,10,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,100
219649,0,25,0.52,1.434412144,9.153846154,0.076923077,1,16.0933112,0.76,0.24,0,0,0.04,0,0,0,0.08,1,0,0.238372093,0,0,1,0,0.076923077,1,1,6.88,129.5988372
256478,0,1,1,0.996683917,0,0,0,159.5,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,74
37986,0,1,1,0.934061177,7,0,0,10,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,85
1041,0,36,0.666666667,0.790689964,18.16666667,0,1,0.073245837,0,1,0,0,0,0,0,0,0.083333333,1,0,0.363636364,0,0,1,0,0.083333333,0,1,5.5,168.9343434
147470,1,1,1,0.922164619,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
351727,1,1,1,1.384645262,5,0,0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,140
268448,0,1,1,0.860734168,0,0,0,10,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,3,75.66666667
113287,0,4,0.5,1.113612886,0,0,1,9.105128205,1,0,0,0,0,0.5,0,0,0.5,0,0.5,0,1,1,1,0,0,0,1,2.5,78
374195,0,4,0.5,1.122019208,22,0.5,0,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,1,1,0,0,0.5,0,0,2.5,112.2
