"No.","Time","Source","Destination","Protocol","Length","Info"
"57","0.055990","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49536 (Valid,Primary,Ok,Run)"
"58","0.057706","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4480 (Valid,Primary,Ok,Run)"
"59","0.057995","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49600 (Valid,Primary,Ok,Run)"
"60","0.059736","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4544 (Valid,Primary,Ok,Run)"
"61","0.059999","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49664 (Valid,Primary,Ok,Run)"
"62","0.061706","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4608 (Valid,Primary,Ok,Run)"
"63","0.061993","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49728 (Valid,Primary,Ok,Run)"
"64","0.063717","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4672 (Valid,Primary,Ok,Run)"
"65","0.063997","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49792 (Valid,Primary,Ok,Run)"
"66","0.065745","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4736 (Valid,Primary,Ok,Run)"
"67","0.066002","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49856 (Valid,Primary,Ok,Run)"
"68","0.067777","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4800 (Valid,Primary,Ok,Run)"
"69","0.068032","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49920 (Valid,Primary,Ok,Run)"
"70","0.069787","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4864 (Valid,Primary,Ok,Run)"
"71","0.070017","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:49984 (Valid,Primary,Ok,Run)"
"72","0.071995","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50048 (Valid,Primary,Ok,Run)"
"73","0.071996","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4928 (Valid,Primary,Ok,Run)"
"74","0.073998","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 4992 (Valid,Primary,Ok,Run)"
"75","0.073999","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50112 (Valid,Primary,Ok,Run)"
"76","0.075766","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5056 (Valid,Primary,Ok,Run)"
"77","0.076026","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50176 (Valid,Primary,Ok,Run)"
"78","0.077710","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5120 (Valid,Primary,Ok,Run)"
"79","0.077990","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50240 (Valid,Primary,Ok,Run)"
"80","0.079754","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5184 (Valid,Primary,Ok,Run)"
"81","0.080035","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50304 (Valid,Primary,Ok,Run)"
"82","0.081710","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5248 (Valid,Primary,Ok,Run)"
"83","0.081991","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50368 (Valid,Primary,Ok,Run)"
"84","0.083721","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5312 (Valid,Primary,Ok,Run)"
"85","0.083996","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50432 (Valid,Primary,Ok,Run)"
"86","0.085753","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5376 (Valid,Primary,Ok,Run)"
"87","0.086014","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50496 (Valid,Primary,Ok,Run)"
"88","0.087712","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5440 (Valid,Primary,Ok,Run)"
"89","0.087993","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50560 (Valid,Primary,Ok,Run)"
"90","0.089720","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5504 (Valid,Primary,Ok,Run)"
"91","0.089993","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50624 (Valid,Primary,Ok,Run)"
"92","0.091715","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5568 (Valid,Primary,Ok,Run)"
"93","0.091994","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50688 (Valid,Primary,Ok,Run)"
"94","0.093718","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5632 (Valid,Primary,Ok,Run)"
"95","0.093998","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50752 (Valid,Primary,Ok,Run)"
"96","0.095994","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5696 (Valid,Primary,Ok,Run)"
"97","0.095994","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50816 (Valid,Primary,Ok,Run)"
"98","0.097994","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50880 (Valid,Primary,Ok,Run)"
"99","0.098310","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5760 (Valid,Primary,Ok,Run)"
"100","0.099724","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5824 (Valid,Primary,Ok,Run)"
"101","0.099992","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:50944 (Valid,Primary,Ok,Run)"
"102","0.101719","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5888 (Valid,Primary,Ok,Run)"
"103","0.101991","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:51008 (Valid,Primary,Ok,Run)"
"104","0.103723","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5952 (Valid,Primary,Ok,Run)"
"105","0.103991","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:51072 (Valid,Primary,Ok,Run)"
"106","0.105730","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6016 (Valid,Primary,Ok,Run)"
"107","0.106006","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:51136 (Valid,Primary,Ok,Run)"
"108","0.107720","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6080 (Valid,Primary,Ok,Run)"
"109","0.107991","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:51200 (Valid,Primary,Ok,Run)"
"110","0.109726","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6144 (Valid,Primary,Ok,Run)"
"111","0.109992","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:51264 (Valid,Primary,Ok,Run)"
"112","0.111721","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6208 (Valid,Primary,Ok,Run)"
"113","0.111992","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:51328 (Valid,Primary,Ok,Run)"
"114","0.113725","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6272 (Valid,Primary,Ok,Run)"
